HolderId,FullName,Address1,Address2,Address3,Address4,Address5,Address6,Postcode,CountryCode,EmailAddress,MobileNumber,ShareBalance,AccessCode
I0000000001,Holder 1 - NZL,1 MLOBMES PLACE,PIPLAQGU QLD 4575,,,,,,NZL,simone.oconnor@computershare.com.au,,5,
I0000000002,Holder 2 - NZL,PO BOX 7892,HAHKESQ WA 6231,,,,,,NZL,,,155,
I0000000003,Holder 3 - NZL,C/- GAX GIXOZ,876-711 GMEBUYV AVENUE,GIXBU            NSW 2026,,,,,NZL,,,525,
I0000000004,Holder 4 - NZL,KABAW 7 78-14 RZUCDI ST,KLJGEJ NSW 2000,,,,,,NZL,,,540,
I0000000005,Holder 5 - NZL,PO BOX 3771,GAMAPEIP KOMCEXN VIC 3162,,,,,,NZL,,,1150,
I0000000006,Holder 6 - NZL,92 ROMNOIC RAMVORA,VSUNWEADX QLD 4011,,,,,,NZL,,,10000,
I0000000007,Holder 7 - NZL,7 FAHOKS ROAD,JAPJELMEWV VIC 3126,,,,,,NZL,,,150,
I0000000008,Holder 8 - NZL,76 JMEKRUM AVE,MDEOH AMNOR SA 5084,,,,,,NZL,,,5,
I0000000009,Holder 9 - NZL,82 LNPIHSQIITS AVENUE,ST MINJU EAST VIC 3183,,,,,,NZL,,,500,
I0000000010,Holder 10 - NZL,C/O Kalium Lakes Limited,PO Box 610,Balcatta WA,,,,,NZL,,,1250110,
I0000000011,Holder 11 - NZL,14 GAJI AVENUE,SOUTH VOKYO VIC 3141,,,,,,NZL,,,4605290,
I0000000012,Holder 12 - NZL,18 NANJKATP RD,LANLUE MANOK VIC 3260,,,,,,NZL,,,5691660,
I0000000013,Holder 13 - NZL,5 GUBW RD,OUXWLIUW NSW 2206,,,,,,NZL,,,500,
I0000000014,Holder 14 - NZL,23 VOUV VOFNAFO,S I BOX 124,SIBA KWUAZ        NT 0847,,,,,NZL,,,4000,
I0000000015,Holder 15 - NZL,W R G 0889 GUFRS LANE,IUMAPQUL  G N K 2258,,,,,,NZL,,,3750,
I0000000016,Holder 16 - NZL,WUFKEMN-SAEZUVSECUBG,RUFCIMNATESFAZE,IL8 7DQ,ILANEM RUFNLIC,,,,NZL,,,3425,
